user_phone_id,dim_date_month,nudge_id,m_o_m_fin_health_indicator
971307057906,202001,variant_a,0
971307057906,202002,variant_a,1
971307057906,202003,variant_a,1
971307057906,202004,variant_a,0
971307057906,202005,variant_a,1
971307057906,202006,variant_a,0
971307057906,202007,variant_a,1
971307057906,202008,variant_a,0
971307057906,202009,variant_a,1
971307057906,202010,variant_a,1
971307057906,202011,variant_a,1
971307057906,202012,variant_a,0
971990616651,202001,variant_a,0
971990616651,202002,variant_a,1
971990616651,202003,variant_a,1
971990616651,202004,variant_a,1
971990616651,202005,variant_a,1
971990616651,202006,variant_a,1
971990616651,202007,variant_a,1
971990616651,202008,variant_a,1
971990616651,202009,variant_a,0
971990616651,202010,variant_a,1
971990616651,202011,variant_a,0
971990616651,202012,variant_a,0
971750325670,202001,variant_a,0
971750325670,202002,variant_a,0
971750325670,202003,variant_a,0
971750325670,202004,variant_a,0
971750325670,202005,variant_a,0
971750325670,202006,variant_a,0
971750325670,202007,variant_a,0
971750325670,202008,variant_a,0
971750325670,202009,variant_a,1
971750325670,202010,variant_a,1
971750325670,202011,variant_a,1
971750325670,202012,variant_a,1
971228514674,202001,variant_a,0
971228514674,202002,variant_a,1
971228514674,202003,variant_a,1
971228514674,202004,variant_a,0
971228514674,202005,variant_a,0
971228514674,202006,variant_a,1
971228514674,202007,variant_a,0
971228514674,202008,variant_a,0
971228514674,202009,variant_a,1
971228514674,202010,variant_a,0
971228514674,202011,variant_a,0
971228514674,202012,variant_a,1
971695807422,202001,variant_a,0
971695807422,202002,variant_a,0
971695807422,202003,variant_a,1
971695807422,202004,variant_a,1
971695807422,202005,variant_a,0
971695807422,202006,variant_a,1
971695807422,202007,variant_a,1
971695807422,202008,variant_a,1
971695807422,202009,variant_a,1
971695807422,202010,variant_a,0
971695807422,202011,variant_a,0
971695807422,202012,variant_a,0
971709047230,202001,variant_a,1
971709047230,202002,variant_a,0
971709047230,202003,variant_a,1
971709047230,202004,variant_a,1
971709047230,202005,variant_a,1
971709047230,202006,variant_a,1
971709047230,202007,variant_a,0
971709047230,202008,variant_a,0
971709047230,202009,variant_a,0
971709047230,202010,variant_a,0
971709047230,202011,variant_a,0
971709047230,202012,variant_a,1
971099483817,202001,variant_a,0
971099483817,202002,variant_a,1
971099483817,202003,variant_a,0
971099483817,202004,variant_a,0
971099483817,202005,variant_a,1
971099483817,202006,variant_a,1
971099483817,202007,variant_a,0
971099483817,202008,variant_a,0
971099483817,202009,variant_a,0
971099483817,202010,variant_a,1
971099483817,202011,variant_a,1
971099483817,202012,variant_a,1
971523889724,202001,variant_a,1
971523889724,202002,variant_a,0
971523889724,202003,variant_a,1
971523889724,202004,variant_a,1
971523889724,202005,variant_a,1
971523889724,202006,variant_a,0
971523889724,202007,variant_a,0
971523889724,202008,variant_a,1
971523889724,202009,variant_a,1
971523889724,202010,variant_a,1
971523889724,202011,variant_a,1
971523889724,202012,variant_a,1
971050366993,202001,variant_a,1
971050366993,202002,variant_a,0
971050366993,202003,variant_a,1
971050366993,202004,variant_a,0
971050366993,202005,variant_a,1
971050366993,202006,variant_a,0
971050366993,202007,variant_a,1
971050366993,202008,variant_a,1
971050366993,202009,variant_a,0
971050366993,202010,variant_a,1
971050366993,202011,variant_a,0
971050366993,202012,variant_a,1
971713091961,202001,variant_a,0
971713091961,202002,variant_a,0
971713091961,202003,variant_a,1
971713091961,202004,variant_a,0
971713091961,202005,variant_a,0
971713091961,202006,variant_a,0
971713091961,202007,variant_a,1
971713091961,202008,variant_a,0
971713091961,202009,variant_a,0
971713091961,202010,variant_a,1
971713091961,202011,variant_a,0
971713091961,202012,variant_a,0
971747713438,202001,variant_a,0
971747713438,202002,variant_a,1
971747713438,202003,variant_a,0
971747713438,202004,variant_a,1
971747713438,202005,variant_a,1
971747713438,202006,variant_a,1
971747713438,202007,variant_a,0
971747713438,202008,variant_a,1
971747713438,202009,variant_a,1
971747713438,202010,variant_a,1
971747713438,202011,variant_a,1
971747713438,202012,variant_a,1
971905252870,202001,variant_a,1
971905252870,202002,variant_a,1
971905252870,202003,variant_a,1
971905252870,202004,variant_a,1
971905252870,202005,variant_a,1
971905252870,202006,variant_a,1
971905252870,202007,variant_a,1
971905252870,202008,variant_a,1
971905252870,202009,variant_a,1
971905252870,202010,variant_a,1
971905252870,202011,variant_a,1
971905252870,202012,variant_a,0
971162254102,202001,variant_a,0
971162254102,202002,variant_a,1
971162254102,202003,variant_a,1
971162254102,202004,variant_a,0
971162254102,202005,variant_a,1
971162254102,202006,variant_a,1
971162254102,202007,variant_a,0
971162254102,202008,variant_a,1
971162254102,202009,variant_a,1
971162254102,202010,variant_a,1
971162254102,202011,variant_a,0
971162254102,202012,variant_a,1
971710919271,202001,variant_a,1
971710919271,202002,variant_a,1
971710919271,202003,variant_a,0
971710919271,202004,variant_a,0
971710919271,202005,variant_a,1
971710919271,202006,variant_a,0
971710919271,202007,variant_a,1
971710919271,202008,variant_a,1
971710919271,202009,variant_a,1
971710919271,202010,variant_a,0
971710919271,202011,variant_a,0
971710919271,202012,variant_a,1
971525976797,202001,variant_a,1
971525976797,202002,variant_a,1
971525976797,202003,variant_a,1
971525976797,202004,variant_a,0
971525976797,202005,variant_a,1
971525976797,202006,variant_a,0
971525976797,202007,variant_a,1
971525976797,202008,variant_a,1
971525976797,202009,variant_a,1
971525976797,202010,variant_a,0
971525976797,202011,variant_a,1
971525976797,202012,variant_a,1
971833697119,202001,variant_a,1
971833697119,202002,variant_a,1
971833697119,202003,variant_a,0
971833697119,202004,variant_a,0
971833697119,202005,variant_a,1
971833697119,202006,variant_a,0
971833697119,202007,variant_a,1
971833697119,202008,variant_a,1
971833697119,202009,variant_a,1
971833697119,202010,variant_a,0
971833697119,202011,variant_a,1
971833697119,202012,variant_a,0
971932026169,202001,variant_a,1
971932026169,202002,variant_a,1
971932026169,202003,variant_a,1
971932026169,202004,variant_a,1
971932026169,202005,variant_a,1
971932026169,202006,variant_a,1
971932026169,202007,variant_a,1
971932026169,202008,variant_a,0
971932026169,202009,variant_a,1
971932026169,202010,variant_a,0
971932026169,202011,variant_a,1
971932026169,202012,variant_a,1
971345699820,202001,variant_a,0
971345699820,202002,variant_a,0
971345699820,202003,variant_a,0
971345699820,202004,variant_a,1
971345699820,202005,variant_a,1
971345699820,202006,variant_a,1
971345699820,202007,variant_a,1
971345699820,202008,variant_a,0
971345699820,202009,variant_a,0
971345699820,202010,variant_a,1
971345699820,202011,variant_a,0
971345699820,202012,variant_a,0
971131519654,202001,variant_a,0
971131519654,202002,variant_a,0
971131519654,202003,variant_a,0
971131519654,202004,variant_a,1
971131519654,202005,variant_a,0
971131519654,202006,variant_a,0
971131519654,202007,variant_a,0
971131519654,202008,variant_a,0
971131519654,202009,variant_a,1
971131519654,202010,variant_a,1
971131519654,202011,variant_a,1
971131519654,202012,variant_a,0
971264595397,202001,variant_a,1
971264595397,202002,variant_a,1
971264595397,202003,variant_a,1
971264595397,202004,variant_a,0
971264595397,202005,variant_a,1
971264595397,202006,variant_a,0
971264595397,202007,variant_a,0
971264595397,202008,variant_a,0
971264595397,202009,variant_a,0
971264595397,202010,variant_a,1
971264595397,202011,variant_a,0
971264595397,202012,variant_a,0
971311444710,202001,variant_a,1
971311444710,202002,variant_a,0
971311444710,202003,variant_a,0
971311444710,202004,variant_a,1
971311444710,202005,variant_a,0
971311444710,202006,variant_a,0
971311444710,202007,variant_a,1
971311444710,202008,variant_a,0
971311444710,202009,variant_a,1
971311444710,202010,variant_a,1
971311444710,202011,variant_a,1
971311444710,202012,variant_a,1
971539264182,202001,variant_a,0
971539264182,202002,variant_a,1
971539264182,202003,variant_a,1
971539264182,202004,variant_a,1
971539264182,202005,variant_a,1
971539264182,202006,variant_a,1
971539264182,202007,variant_a,0
971539264182,202008,variant_a,1
971539264182,202009,variant_a,0
971539264182,202010,variant_a,0
971539264182,202011,variant_a,1
971539264182,202012,variant_a,1
971503490831,202001,variant_a,1
971503490831,202002,variant_a,1
971503490831,202003,variant_a,1
971503490831,202004,variant_a,1
971503490831,202005,variant_a,1
971503490831,202006,variant_a,0
971503490831,202007,variant_a,1
971503490831,202008,variant_a,0
971503490831,202009,variant_a,1
971503490831,202010,variant_a,1
971503490831,202011,variant_a,0
971503490831,202012,variant_a,1
971538032080,202001,variant_a,0
971538032080,202002,variant_a,1
971538032080,202003,variant_a,1
971538032080,202004,variant_a,1
971538032080,202005,variant_a,0
971538032080,202006,variant_a,0
971538032080,202007,variant_a,1
971538032080,202008,variant_a,0
971538032080,202009,variant_a,1
971538032080,202010,variant_a,1
971538032080,202011,variant_a,1
971538032080,202012,variant_a,0
971990452918,202001,variant_a,1
971990452918,202002,variant_a,0
971990452918,202003,variant_a,0
971990452918,202004,variant_a,0
971990452918,202005,variant_a,1
971990452918,202006,variant_a,1
971990452918,202007,variant_a,0
971990452918,202008,variant_a,1
971990452918,202009,variant_a,0
971990452918,202010,variant_a,0
971990452918,202011,variant_a,1
971990452918,202012,variant_a,1
971702763152,202001,variant_a,0
971702763152,202002,variant_a,1
971702763152,202003,variant_a,1
971702763152,202004,variant_a,0
971702763152,202005,variant_a,1
971702763152,202006,variant_a,0
971702763152,202007,variant_a,1
971702763152,202008,variant_a,0
971702763152,202009,variant_a,1
971702763152,202010,variant_a,1
971702763152,202011,variant_a,1
971702763152,202012,variant_a,0
971648206704,202001,variant_a,1
971648206704,202002,variant_a,1
971648206704,202003,variant_a,1
971648206704,202004,variant_a,1
971648206704,202005,variant_a,0
971648206704,202006,variant_a,0
971648206704,202007,variant_a,1
971648206704,202008,variant_a,0
971648206704,202009,variant_a,1
971648206704,202010,variant_a,1
971648206704,202011,variant_a,0
971648206704,202012,variant_a,1
971311096135,202001,variant_a,1
971311096135,202002,variant_a,1
971311096135,202003,variant_a,1
971311096135,202004,variant_a,1
971311096135,202005,variant_a,0
971311096135,202006,variant_a,1
971311096135,202007,variant_a,0
971311096135,202008,variant_a,0
971311096135,202009,variant_a,0
971311096135,202010,variant_a,1
971311096135,202011,variant_a,1
971311096135,202012,variant_a,0
971385344121,202001,variant_a,1
971385344121,202002,variant_a,1
971385344121,202003,variant_a,1
971385344121,202004,variant_a,0
971385344121,202005,variant_a,0
971385344121,202006,variant_a,0
971385344121,202007,variant_a,1
971385344121,202008,variant_a,1
971385344121,202009,variant_a,1
971385344121,202010,variant_a,0
971385344121,202011,variant_a,0
971385344121,202012,variant_a,0
971249884669,202001,variant_a,1
971249884669,202002,variant_a,1
971249884669,202003,variant_a,0
971249884669,202004,variant_a,0
971249884669,202005,variant_a,0
971249884669,202006,variant_a,0
971249884669,202007,variant_a,1
971249884669,202008,variant_a,0
971249884669,202009,variant_a,1
971249884669,202010,variant_a,1
971249884669,202011,variant_a,0
971249884669,202012,variant_a,1
971714214850,202001,variant_a,0
971714214850,202002,variant_a,0
971714214850,202003,variant_a,0
971714214850,202004,variant_a,1
971714214850,202005,variant_a,1
971714214850,202006,variant_a,0
